First Name Unicode,First Name Ascii,Gender,Origin,Meaning,Tags
Kanga,kanga,Neutral,Native American,A Raven,
Kangee,kangee,Male,Native American - Sioux,Black Raven,
Kanha,kanha,Male,Indian,Name Of Lord Krishna,
Kaniel,kaniel,Male,Hebrew,(Only) God Is My Judge,
Kaniela,kaniela,Neutral,Hawaiian,(Only) God Is My Judge,
Kaniesa,kaniesa,Female,American,Combination Of Candice And Anisa,
Kanika,kanika,Female,Indian,An Atom|A Particle,
Kanji,kanji,Male,Japanese,Generosity|Second|Samurai,
Kannan,kannan,Male,Indian,Variation Of Krishna,
Kanoa,kanoa,Neutral,Hawaiian,Free One,
Kanon,kanon,Female,Japanese,Flower|Sound,
Kanoni,kanoni,Female,African - Ulaya of Tanzania,LIttle Bird,
Kanoro,kanoro,Male,African - Kenya,Sword Sharpener,
Kansas,kansas,Neutral,Native American - Sioux,People Of The South Wind,#Place
Kanta,kanta,Female,Indian,Desired,
Kantana,kantana,Neutral,American,Unknown,#Surname
Kanti,kanti,Female,Indian - Sanskrit,Beautiful,
Kanuha,kanuha,Male,Hawaiian,Sulky,
Kanya,kanya,Female,Thai,Young Woman,
Kanye,kanye,Male,Hawaiian,Freedom,#Celebrity
Kaori,kaori,Female,Japanese,Fragrant,
Kaoru,kaoru,Neutral,Japanese,Fragrance|Balmy,
Kapena,kapena,Male,Hawaiian,Captain,
Kapil,kapil,Male,Indian - Sanskrit,Reddish-Brown Or Monkey-Colored,
Kapila,kapila,Female,Indian,Gentle Woman,
Kapono,kapono,Male,Hawaiian,Righteous|Good,
Kapua,kapua,Neutral,Hawaiian,Flower|Child,
Kapueo,kapueo,Neutral,Hawaiian,Owl,
Kapula,kapula,Male,Hawaiian,Prayers,
Kapule,kapule,Neutral,Hawaiian,Prayer,
Kapuni,kapuni,Male,Hawaiian,Favorite,
Kara,kara,Female,Italian,Dear,
Karah,karah,Female,American,Dear,
Karam,karam,Male,Arabic,Generosity,
Karan,karan,Male,Indian,Skilled Or Smart,
Karasi,karasi,Female,African,Life And Wisdom,
Kare,kare,Male,Scandinavian,Curly Haired,
Kareem,kareem,Male,Arabic,Gracious|Generous,#Nature|#Sports
Karen,karen,Female,Scandinavian,Pure,
Karena,karena,Female,Scandinavian,Pure,
Karenina,karenina,Female,Slavic,Pure|Chaste,
Karenza,karenza,Female,English,Love,
Kari,kari,Neutral,Scandinavian,Pure,
Karida,karida,Female,Arabic,Pure|Loyal,
Karif,karif,Male,Arabic,Arrived In Autumn,
Karik,karik,Male,American,From Carrick|Scotland,
Karim,karim,Male,Arabic,Generous,
Karima,karima,Female,Arabic,Royal,#Surname
Karimah,karimah,Female,Arabic,Generous,
Karin,karin,Female,Scandinavian,Pure,
Karina,karina,Female,Scandinavian,Pure,
Karinda,karinda,Female,American,Combination Of Karin And Lucinda,
Karine,karine,Female,Scandinavian,Pure,
Karis,karis,Female,Greek,Graceful,
Karise,karise,Female,Latin,Dearest One,
Karishma,karishma,Female,Indian,Miracle,
Karissa,karissa,Female,Italian,Dear One,
Karisse,karisse,Female,American,Dear One,
Karl,karl,Male,German,Free Man,
Karla,karla,Female,German,Free Man,
Karlaye,karlaye,Female,American,Free,
Karleshia,karleshia,Female,American,Man|Her Life,
Karli,karli,Female,American,Feminine Form Of Karl,
Karlishia,karlishia,Female,American,Unknown,
Karlyn,karlyn,Female,American,Feminine Form Of Karl,
Karma,karma,Female,Indian,Fate,
Karman,karman,Male,English,Man,#Surname
Karmiela,karmiela,Female,Hebrew,God Is My Vineyard,
Karmina,karmina,Female,American,Song,
Karmiti,karmiti,Female,Native American - Eskimo,Trees,
Karna,karna,Female,African,Horn Of An Animal,
Karolina,karolina,Female,Polish,Womanly|Beautiful,
Karro,karro,Male,Aboriginal,Blood,
Karsen,karsen,Neutral,American,Christian,
Karsten,karsten,Neutral,German,Christian,
Karston,karston,Male,English,From Karl's Town,
Kartik,kartik,Male,Indian,Month Name,
Karuka,karuka,Female,Indian,Art Of Heaven,
Kasa,kasa,Female,Native American - Hopi,Fur Robe,
Kasabian,kasabian,Male,Armenian,Son Of The Butcher,#Surname
Kasani,kasani,Neutral,English,Chicory,
Kaseko,kaseko,Male,African,Mock|Ridicule,
Kasen,kasen,Neutral,English,Pure,
Kash,kash,Male,Indian,Universe|Sky,#Nature
Kashiti,kashiti,Female,Indian,Shining,
Kashton,kashton,Male,American,Money|Cash,
Kashveen,kashveen,Female,American,Unknown,
Kasi,kasi,Female,Indian,Shining,
Kasia,kasia,Female,Polish,Pure,
Kasib,kasib,Male,Arabic,Fertile,
Kasim,kasim,Male,African,Controller Of Anger,
Kaspar,kaspar,Male,German,Treasurer,
Kass,kass,Neutral,English,She Who Entangles Men,
Kassa,kassa,Male,African - Amharic/Ethiopian male name.,Reparation|Compensation,
Kassandra,kassandra,Female,Greek,She Who Entangles Men,
Kassidy,kassidy,Neutral,Irish,Curly Haired,
Kasumi,kasumi,Female,Japanese,Mist,
Kat,kat,Female,English,Pure,
Kata,kata,Female,Japanese,Worthy,
Katalin,katalin,Female,Hungarian,Pure,
Katana,katana,Neutral,Japanese,Sword,
Katara,katara,Female,Arabic,From Qatar,#Place
Katarina,katarina,Female,Italian,Pure,
Katarzyna,katarzyna,Female,Polish,Pure,
Katashi,katashi,Male,Japanese,Firm|Hard,
Kate,kate,Female,English,Pure,#Celebrity|#Royal
Kateb,kateb,Male,Arabic,Writer,
Kateisha,kateisha,Female,American,Unknown,
Katelin,katelin,Female,American,Pure,
Katell,katell,Female,Irish,Pure,
Katella,katella,Female,American - Created,Unknown,
Katelyn,katelyn,Female,American,Pure,
Katen,katen,Female,Dutch,Pure,
Katerina,katerina,Female,Slavic,Pure,
Katet,katet,Male,American,A Group Joined By Destiny,
Kathan,kathan,Male,German,Constable Of A Castle,
Kathani,kathani,Female,Indian - Hindi,Statement|Utterance,
Katharine,katharine,Female,Greek,Pure,
Katheer,katheer,Male,Arabic,Plentiful,
Katherine,katherine,Female,Greek,Pure,
Kathiucia,kathiucia,Female,Portuguese,Pure Light,
Kathleen,kathleen,Female,Irish,Pure,
Kathryn,kathryn,Female,English,Pure,
Kathy,kathy,Female,English,Pure,
Katia,katia,Female,Slavic,Pure,
Katiana,katiana,Female,American,Combination Of Kat- And Tatiana,
Katie,katie,Female,English,Pure,
Katima,katima,Female,American,Powerful Daughter,
Katina,katina,Female,Italian,Pure,
Katinka,katinka,Female,German,Pure,
Katlyn,katlyn,Female,American,Pure,
Katniss,katniss,Female,American,Plant Name|Sagittaria Genus,#FictionalCharacter|#Literary|#Nature
Kato,kato,Male,African - East African/Ghanda,Second Of Twins,
Katoka,katoka,Female,Hungarian,Pure,
Katrice,katrice,Female,American,Noble|Pure,
Katriel,katriel,Neutral,Hebrew,God Is My Crown,
Katrien,katrien,Female,Dutch,Pure,
Katrin,katrin,Female,Scandinavian - Icelandic,Pure,
Katrina,katrina,Female,German,Pure,
Katsu,katsu,Neutral,Japanese,Victorious|Win,
Katsuki,katsuki,Female,Japanese,Victorious|Season|Fragrance|Moon,
Katsuko,katsuko,Female,Japanese,Victorious|Child,
Katsumi,katsumi,Male,Japanese,Patience|Beautiful|Sea,
Katsunori,katsunori,Male,Japanese,Patience|Writings|Law,
Katsuo,katsuo,Male,Japanese,Victory|Hero|Manly,
Katsuro,katsuro,Male,Japanese,Victory|Son,
Katsurou,katsurou,Male,Japanese,Victory|Son,
Katsuye,katsuye,Female,Japanese,Victorious|Blessed,
Katungi,katungi,Male,African,Rich,
Katy,katy,Female,English,Pure,#Celebrity
Katya,katya,Female,Russian,Pure,
Katz,katz,Neutral,German,Priest Of Righteousness,#Surname
Kaui,kaui,Male,Hawaiian,Beauty Of Youth,
Kaula,kaula,Female,African,Buying,
Kaulana,kaulana,Neutral,Hawaiian,Illustrious|Famous,
Kaur,kaur,Female,Indian,Princess,#Surname
Kausalya,kausalya,Female,Indian - Sanskrit,From The Kosala,
Kaushal,kaushal,Male,Indian,Clever,
Kaveh,kaveh,Male,Persian,Royal,
Kaveri,kaveri,Female,Indian,River,#Water
Kavi,kavi,Neutral,Indian,Wise Poet,
Kavin,kavin,Male,English,Unknown,
Kavindra,kavindra,Female,Indian,Poet,
Kavita,kavita,Neutral,Indian,Poem,#Literary
Kavon,kavon,Male,American,Combination Of K And Avon,
Kawai,kawai,Neutral,Hawaiian,From The Water,#Water
Kawehi,kawehi,Neutral,Hawaiian,The Adornment,
Kawelo,kawelo,Neutral,Hawaiian,Family-Bound,
Kawena,kawena,Neutral,Hawaiian,Rosy Reflection In The Sky,
Kay,kay,Female,Greek,Rejoice,
Kaya,kaya,Female,Scandinavian,Pure,
Kayaliya,kayaliya,Female,Indian,Unknown,
Kayanna,kayanna,Female,American,Combination Of Kay And Anna,
Kaybella,kaybella,Female,American,Unknown,
Kayce,kayce,Neutral,American,From The Initials K.C.,
Kaycee,kaycee,Neutral,American,Initals K And C,
Kaydence,kaydence,Female,American,Musical,#Musical
Kayin,kayin,Female,African - Yoruba,Long-Awaited Child,
Kayla,kayla,Female,American,Beloved Or Who Is Like God?,
Kaylana,kaylana,Female,American,Unknown,
Kayleah,kayleah,Female,American,Combination Of Kay/Kaylee And Leah,
Kaylee,kaylee,Female,American,Who Is Like God?,
Kayleen,kayleen,Female,American,Pure Lass,
Kayleigh,kayleigh,Female,American,Who Is Like God?,
Kayley,kayley,Female,American,Who Is Like God?,
Kaylor,kaylor,Neutral,American,Unknown,
Kaylyn,kaylyn,Female,American,Combination Of Kay And Lyn,
Kaymari,kaymari,Neutral,American,Unknown,
Kayo,kayo,Female,Japanese,Good|Beautiful|Generation,
Kayode,kayode,Male,African - Yoruba,He Who Brings Joy,
Kayoko,kayoko,Female,Japanese,Addition|Generation|Child|Fragrance,
Kayonga,kayonga,Male,African,Ash,
Kaysar,kaysar,Male,Persian,King/Ruler,
Kayson,kayson,Neutral,American,Combination Name,
Kayteequa,kayteequa,Female,Native American - Shawnee,Female Eagle,
Kaywar,kaywar,Neutral,American,Unknown,
Kaz,kaz,Male,Polish,Dim. Of CASSIUS,
Kazane,kazane,Female,Japanese,Sound Of Wind,
Kazi,kazi,Male,African,Work,
Kazou,kazou,Male,Japanese,One|Harmony|Husband|Man,
Kazu,kazu,Female,Japanese,Harmony|Peace,
Kazuaki,kazuaki,Male,Japanese,Peace|Harmony|Bright,
Kazuhito,kazuhito,Male,Japanese,Peace|Harmony,
Kazuki,kazuki,Male,Japanese,Peaceful Tree,
Kazuko,kazuko,Female,Japanese,One|Harmony|Child,
Kazuma,kazuma,Male,Japanese,Peace|Harmony,
Kazumi,kazumi,Neutral,Japanese,Harmony|Peace|Beautiful,
Kazuno,kazuno,Female,Japanese,Harmony|Peace|You,
Kazuo,kazuo,Male,Japanese,Husband Of Harmony,
Kazushige,kazushige,Male,Japanese,First|Growth|Harmony,
Kazutaka,kazutaka,Male,Japanese,Peace|Harmony|Calm|Precious|Valuable,
Kazuto,kazuto,Neutral,Japanese,Peace|Harmony|First,
Kazuya,kazuya,Male,Japanese,Peace|Harmony|Calm,
Kazuye,kazuye,Female,Japanese,Harmony|Peace|Blessed,
Kazuyuki,kazuyuki,Male,Japanese,Peace|Harmony|Calm,
Keagan,keagan,Neutral,Irish,Descendant Of The Fiery One,
Keaghlan,keaghlan,Female,American,Slender,
Keahi,keahi,Neutral,Hawaiian,Flames|Fire,#Fire
Keaira,keaira,Female,Irish,Little Dark One,
Keaka,keaka,Neutral,Hawaiian,Of The Shadows,
Keala,keala,Neutral,Hawaiian,The Path,
Kealani,kealani,Neutral,Hawaiian,Clear Skies,
Kealii,kealii,Neutral,Hawaiian,Chief,
Kealoha,kealoha,Neutral,Hawaiian,The Loved One,
Keani,keani,Neutral,Hawaiian,The Wave|Breeze,
Keanu,keanu,Neutral,Hawaiian,Cool Mountain Breeze,
Keao,keao,Neutral,Hawaiian,The Dawn|Light Of Day,
Keashyllin,keashyllin,Female,American,Unknown,
Keaton,keaton,Neutral,English,Hawk's Town,
Keats,keats,Neutral,English,Shed Worker,#Literary|#Surname
Keawe,keawe,Neutral,Hawaiian,Thread|Wake Of A Ship,
Keb,keb,Male,African,Earth,
Kebi,kebi,Neutral,American,Unknown,
Kedar,kedar,Male,Hebrew,Dark One,#Biblical
Kedem,kedem,Male,Hebrew,Old|Ancient,
Kedma,kedma,Female,Hebrew,Towards The East,
Kedron,kedron,Male,Hebrew,Of The Cedars,
Keebler,keebler,Neutral,German,Property Owner,#Brand|#Surname
Keefe,keefe,Male,Irish,Handsome|Beloved,
Keefer,keefer,Male,German,Pine Tree/barrel Maker,
Keegan,keegan,Neutral,Irish,Descendant Of The Fiery One,
Keelan,keelan,Neutral,Irish,Slender,
Keelia,keelia,Female,American,Beautiful,
Keelin,keelin,Neutral,Irish,Fair And Slender,
Keelty,keelty,Female,Irish,Descendant Of The Slender One,
Keely,keely,Female,Irish,Beautiful,
Keemeone,keemeone,Neutral,Native American - Ojibwa,Rain,#Water
Keen,keen,Neutral,English,Wise|Proud,
Keena,keena,Female,American,Brave,
Keenan,keenan,Male,Irish,Descendant Of The Fair Child,
Keene,keene,Male,English,Wise|Proud,
Keeran,keeran,Neutral,Irish,Little Dark One,
Keerthi,keerthi,Neutral,Indian - Sanskrit,Eternal Flame,
Kees,kees,Male,Dutch,Horn,
Keesa,keesa,Neutral,Russian,Kitten,
Keeton,keeton,Neutral,American,Hawk's Town,
Keeva,keeva,Female,Irish,Kind|Beautiful|Gentle,
Keeya,keeya,Female,American,Garden Flower,
Keezheekoni,keezheekoni,Female,Native American - Chippewa,Fire Briskly Burning,#Fire
Keften,keften,Male,American,Town Of Kevin,
Kegan,kegan,Neutral,Irish,Descendant Of The Fiery One,
Kehepa,kehepa,Neutral,Hawaiian,Unknown,
Kehinde,kehinde,Male,African - Nigeria,Second Born Of Twins,
Kehlani,kehlani,Female,American,Unknown,#Celebrity
Kei,kei,Neutral,African,Sandy|White,
Keiandra,keiandra,Female,American,Combination Of Keisha And Andra,
Keihinn,keihinn,Neutral,American,Created Name,
Keiji,keiji,Male,Japanese,REspect|Second|Blessed|Joy,
Keiki,keiki,Neutral,Hawaiian,Child,
Keiko,keiko,Female,Japanese,Blessed|Child,
Keilah,keilah,Female,Hebrew,Citadel,
Keir,keir,Neutral,Irish,Black,
Keira,keira,Female,Irish,Black Haired,#Celebrity
Keiran,keiran,Male,Irish,Dark,
Keisha,keisha,Female,American,Her Life,
Keisuke,keisuke,Male,Japanese,Save,
Keita,keita,Neutral,English,Offspring Or Blessing,
Keitaro,keitaro,Male,Japanese,Blessed,
Keith,keith,Male,Scottish,Offspring|Young Person,#Surname
Keitha,keitha,Female,Irish,Unknown,
Keizo,keizo,Male,Japanese,Respect|Third|Rejoice,
Kekapa,kekapa,Neutral,Hawaiian,Tapa Cloth,
Kekepania,kekepania,Female,Hawaiian,Crown|Laurel,
Kekoa,kekoa,Male,Hawaiian,The Warrior,
Kekona,kekona,Neutral,Hawaiian,Second-born Child,
Keladry,keladry,Neutral,American,Not Available,
Kelaiah,kelaiah,Neutral,Hebrew,Voice Of The Lord,
Kelairn,kelairn,Female,American,Unknown,
Kelayshia,kelayshia,Female,American,Unknown,
Kelby,kelby,Neutral,English,From The Ridge Farm,#Surname
Kelce,kelce,Neutral,English,From Cenel's Island,#Celebrity
Kelda,kelda,Female,Scandinavian,A Fountain,
Keldrie,keldrie,Neutral,American,Unknown,
Kele,kele,Male,Native American - Hopi,Sparrow Hawk,
Keleidy,keleidy,Female,American,Unknown,
Kelekokio,kelekokio,Neutral,Hawaiian,Seahorse,
Kelii,kelii,Neutral,Hawaiian,Chief,
Kelin,kelin,Female,American,Slender Boy,
Kelis,kelis,Female,American,Beautiful,
Kella,kella,Female,Irish,Warrior,
Kellan,kellan,Male,Irish,Descendant Of The Brightheaded One,
Kellen,kellen,Neutral,Irish,Descendant Of The Brightheaded One,
Keller,keller,Neutral,German,Winemaker,#Surname
Kelley,kelley,Neutral,Irish,Bright-headed/redheaded,#Surname
Kelli,kelli,Female,American,Bright-headed,
Kellsie,kellsie,Neutral,American,Island Of The Ships,
Kelly,kelly,Neutral,Irish,Bright-headed,#Celebrity|#Color|#Surname
Kellyn,kellyn,Female,Irish,Descendant Of The Brightheaded One,
Kelsea,kelsea,Female,Irish,Island Of The Ships,
Kelsey,kelsey,Neutral,English,From Cenel's Island,#Surname
Kelson,kelson,Neutral,English,Son Of Kelsey,
Keltie,keltie,Neutral,Scottish,Place Name,#Surname
Kelton,kelton,Male,English,From The Calf Farm,#Surname
Kelvin,kelvin,Male,Scottish,A River Of Scotland,#Water
Keme,keme,Neutral,Native American - Algonquin,Secret,
Kemi,kemi,Female,African - Yoruba of Nigeria,God Takes Care Of Me,
Kemp,kemp,Male,English,Fighter|Champion.,#Surname
Ken,ken,Male,Scottish,Handsome,
Ken'Ichi,ken%2527ichi,Male,Japanese,Heatlthy|Strong|Study|One,
Kenadia,kenadia,Female,American,Chief,
Kenadie,kenadie,Neutral,Irish,Ugly Head,
Kenan,kenan,Male,Hebrew,To Take Posession,
Kenaz,kenaz,Male,Hebrew,Bright,
Kenchiro,kenchiro,Male,Japanese,Good Luck|Son,
Kenchirou,kenchirou,Male,Japanese,Good Luck|Son,
Kenda,kenda,Female,English,Child Of Clear|Cool Water,#Water
Kendahl,kendahl,Neutral,American,From The River Kent,#Water
Kendale,kendale,Neutral,English,Valley Of The River Kent,#Water
Kendaleigha,kendaleigha,Female,American,Valley Of The Storm,
Kendall,kendall,Neutral,English,Valley Of The River Kent,#Water
Kender,kender,Neutral,American,Unknown,
Kendi,kendi,Neutral,African,The Loved One,
Kendis,kendis,Neutral,American,Pure,
Kendra,kendra,Female,English,Water Baby|Magical,#Water
Kendrew,kendrew,Male,English,Handsome; Manly,
Kendria,kendria,Female,English,Water Baby|Magical,#Water
Kendrick,kendrick,Male,English,Bold Ruler,#Surname
Kendrix,kendrix,Neutral,American,Bold Ruler,
Kenechukwu,kenechukwu,Neutral,African,Thank God,
Kenelm,kenelm,Male,English,Bold Helmet,
Kenisha,kenisha,Female,American,Beautiful And Prosperous,
Kenji,kenji,Male,Japanese,Wise|Peace|Healing,
Kenley,kenley,Neutral,English,Royal Meadow,#Surname
Kenna,kenna,Neutral,American,Beautiful,
Kennan,kennan,Male,Irish,Descendant Of The Fair One,
Kennard,kennard,Male,English,Royal And Brave,
Kennedy,kennedy,Neutral,Irish,Misshapen Head,#Celebrity|#Politician|#Surname
Kenneth,kenneth,Male,Scottish,Handsome,
Kennice,kennice,Female,English,Beautiful,
Kennita,kennita,Female,American,Unknown,
Kenny,kenny,Male,Scottish,Handsome,
Keno,keno,Neutral,American,A Lotto-like Gambling Game,
Kensey,kensey,Neutral,English,King's Victory,
Kenshin,kenshin,Male,Japanese,Modest|Truth,
Kensington,kensington,Neutral,English,The Town Of Cynsige's People,
Kensley,kensley,Neutral,American,Unknown,
Kent,kent,Male,English,High Or Coastal Land,#FictionalCharacter|#Surname
Kenta,kenta,Male,Japanese,Healthy|Strong|Thick|Big,
Kentavious,kentavious,Male,American,Unknown,
Kenton,kenton,Male,English,From The Town Of Kent,
Kentucky,kentucky,Neutral,Native American - Iroquois,Land Of Tomorrow,#Place
Kenwood,kenwood,Neutral,English,Royal Guardian,
Kenya,kenya,Female,Hebrew,Animal Horn,
Kenyi,kenyi,Male,African,Male Born After 3+ Girls,
Kenyon,kenyon,Neutral,English,From The Mound Of Einion,
Kenzie,kenzie,Neutral,Scottish,Descendant Of The Handsome Man,
Kenzo,kenzo,Male,Japanese,Wise One,#Virtue
Keoki,keoki,Male,Hawaiian,Alive,
Keola,keola,Neutral,Hawaiian,The Life,
Keon,keon,Male,Hawaiian,God Is Gracious,
Keona,keona,Female,Hawaiian,God's Gracious Gift,
Keone,keone,Neutral,Hawaiian,The Homeland,
Keoni,keoni,Male,Hawaiian,God Is Gracious,
Kera,kera,Female,American,Pure,
Keran,keran,Neutral,Armenian,Wooden Post,
Kerani,kerani,Female,Indian,Sacred Bells,
Kerem,kerem,Male,Turkish,Noble|Generous,
Keren,keren,Female,Hebrew,Ray|Beam Or Strength|Power,
Keres,keres,Female,Greek,Death Spirits,
Kerith,kerith,Neutral,Hebrew,Cutting,
Kerlisha,kerlisha,Female,American,Unknown,
Kermit,kermit,Male,Scottish,Descendant Of Diarmuid,#FictionalCharacter
Kern,kern,Neutral,German,Grain|Seed,
Kerouac,kerouac,Neutral,French,Enclosure Of Soft Soil,#Literary|#Surname
Kerr,kerr,Neutral,Scottish,From The Rough Ground,#Surname
Kerra,kerra,Female,Irish,Dark,
Kerri,kerri,Female,Irish,Dark,
Kerry,kerry,Neutral,Irish,From Ciar's People Or The County Of Kerry,
Kerrya,kerrya,Female,American,From Count Of Kerry|Ireland,
Kerryn,kerryn,Female,American,Dusky And Pure,
Kerstin,kerstin,Female,Scandinavian,Christian,
Kert,kert,Male,American,Simple Pleasures,
Kesha,kesha,Female,Russian,Innocent,#Celebrity
Keshawn,keshawn,Male,American,God Is Gracious,
Keshia,keshia,Female,African,Favorite,
Kesia,kesia,Female,American,Earth Bound,
Kesler,kesler,Male,American,Independent And Energetic,
Kesley,kesley,Neutral,American,Unknown,
Kessie,kessie,Female,American,Innocent,
Kessya,kessya,Neutral,American,Unknown,
Kester,kester,Male,English,Christ-bearer,
Kestrel,kestrel,Neutral,English,Small|Colorful Falcon,
Ketaki,ketaki,Female,Indian,Flower,
Ketan,ketan,Male,Indian,Home,
Ketill,ketill,Male,Scandinavian,Helmet|Small Pot,
Keto,keto,Male,Swahili,Depth,
Keturah,keturah,Female,Hebrew,Incense,#Biblical
Kevin,kevin,Male,Irish,Handsome|Beautiful,
Kevina,kevina,Female,American,Handsome|Beautiful,
Kevine,kevine,Female,Irish,Beautiful,
Kevlyn,kevlyn,Female,American,Beautiful,
Kevork,kevork,Male,Armenian,Farmer,
Keyah,keyah,Female,African - West Africa,In Good Health,
Keyanna,keyanna,Female,American,Living With Grace,
Keyshawn,keyshawn,Male,American,God Is Gracious,
Keyson,keyson,Neutral,English,Keymaker,
Kezia,kezia,Female,Hebrew,Tree Bark,#Biblical
Keziah,keziah,Female,Hebrew,Daughter Of Job,
Kfira,kfira,Female,Hebrew,Lion Cub,
Khadejah,khadejah,Female,Arabic,Unknown,
Khadiga,khadiga,Female,Arabic,Youthful,
Khadija,khadija,Female,Arabic,Premature Child,#FictionalCharacter
Khair,khair,Male,Arabic,Giving|Charitable,
Khaison,khaison,Neutral,American,Unknown,
Khaki,khaki,Neutral,Persian,Beige Or Type Of Pants,
Khal,khal,Male,American,Leader|King,#FictionalCharacter|#Literary
Khaled,khaled,Male,Arabic,Eternal.,
Khaleel,khaleel,Male,Arabic,Friendly,
Khaleesi,khaleesi,Female,American,Unknown,#Literary
Khalfan,khalfan,Male,Swahili,Successor,
Khalid,khalid,Male,Arabic,Eternal|Immortal,
Khalida,khalida,Female,Arabic,Eternal Life|Immortal,
Khalifa,khalifa,Male,Arabic,Successor Or Holy Girl,
Khalil,khalil,Male,Arabic,Friend,
Khalilah,khalilah,Female,Arabic,Friend,
Khaliq,khaliq,Male,Arabic,Creator,
Khalon,khalon,Male,American,Strong Warrior,
Khan,khan,Male,Indian,Ruler|King,#FictionalCharacter|#Royal|#Surname
Khanh,khanh,Neutral,Vietnamese,Not Available,
Khari,khari,Male,Arabic,Unknown,
Khatijah,khatijah,Female,Arabic,Youthful,
Khayrat,khayrat,Neutral,Arabic,Honored Action.,
Khayri,khayri,Male,Arabic,Charitable,
Khayriyya,khayriyya,Female,Arabic,Charitable,
Khayyam,khayyam,Male,Arabic,Maker Of Tents.,
Khidar,khidar,Male,Arabic,Guide|Leader,
Khoi,khoi,Male,Vietnamese,Smart|Precious,
Khosrow,khosrow,Male,Persian,Of Good Fame,
Khuno,khuno,Male,Incan,God Of High-Altitude Weather,
Khuong,khuong,Neutral,Vietnamese,Not Available,
Khurran,khurran,Male,Arabic,Delightful,
Khurshid,khurshid,Male,Persian,Sun,
Khuyen,khuyen,Neutral,Vietnamese,Advise,
Khwaja,khwaja,Male,Persian,Lord,
Ki,ki,Male,Korean,Vigorous|Strong,
Kia,kia,Female,Scandinavian - Swedish,Christ-Bearer,#Brand
Kiaan,kiaan,Male,Indian - Hindi,Grace Of God,
Kiah,kiah,Female,Welsh,Person Of Earth,
Kian,kian,Male,Irish,Old|Ancient,
Kiana,kiana,Female,Hawaiian,Divine,
Kianda,kianda,Female,African,Mermaid,
Kiandra,kiandra,Female,Irish,Magical Water|Ancient One,#Water
Kianga,kianga,Female,African,Sunshine,
Kiango,kiango,Male,Swahili,Light|Lamp,
Kianna,kianna,Female,American,Singers,
Kiano,kiano,Male,African - Kikuyu of Kenya,Tools Of The Wizard,
Kiara,kiara,Female,Irish,Dark,
Kiasax,kiasax,Neutral,Native American - Blackfoot,Bear On The Left,
Kibbe,kibbe,Male,Native American,Night Bird,
Kibibi,kibibi,Female,Swahili,Little Lady,
Kida,kida,Female,American,Unknown,
Kiden,kiden,Female,African,Female Born After 3+ Boys,
Kie,kie,Female,Japanese,Uncommon Blessing,
Kiefer,kiefer,Male,German,Barrel Maker Or Pine Tree,#Celebrity|#Occupational|#Surname
Kiele,kiele,Female,Hawaiian,Fragrant Blossom|Gardenia,
Kielo,kielo,Female,Scandinavian - Finnish,Lily Of The Valley Flower,#Nature
Kieran,kieran,Neutral,Irish,Dark,
Kiernan,kiernan,Male,Irish,Son Of A Lord,
Kierra,kierra,Female,American,Unknown,
Kiersten,kiersten,Female,Scandinavian,Annointed,
Kiet,kiet,Male,Thai,Honor,
Kieu,kieu,Female,Vietnamese,Not Available,
Kieve,kieve,Neutral,Irish,Mythical Name,
Kiffany,kiffany,Female,American,Appearance Of God,
Kiffen,kiffen,Neutral,German,To Smoke Marijuana,
Kifle,kifle,Female,African - Ethiopian,My Class,
Kiho,kiho,Neutral,African,Fog,
Kijana,kijana,Neutral,African - Kiswahili,Youth,
Kijani,kijani,Male,Swahili,Greenery|Greenest,#Color
Kiki,kiki,Female,Spanish,Short For Names Beginning With K,#FictionalCharacter
Kikilia,kikilia,Female,Hawaiian,Blind To One's Own Beauty,
Kiku,kiku,Female,Japanese,Chrysanthemum,
Kikuko,kikuko,Female,Japanese,Chysanthemum|Child,
Kikuye,kikuye,Female,Japanese,Chysanthemum|Branch|Cove,
Kikuyo,kikuyo,Female,Japanese,Chrysanthemum|Generation,
Kilenya,kilenya,Female,Native American - Miwok,Coughing Fish,
Kiley,kiley,Neutral,Irish,Graceful,
Kilikina,kilikina,Female,Hawaiian,Follower Of Christ,
Kilim,kilim,Neutral,Turkish,Flat-woven Carpet Or Rug,
Killara,killara,Female,Aboriginal,Ever Present,
Killer,killer,Neutral,American,One Who Kills,
Killian,killian,Neutral,Irish,Church|Monk's Cell,
Kilmer,kilmer,Neutral,English,Kiln Worker,#Surname
Kilohana,kilohana,Male,Hawaiian,Great,
Kim,kim,Neutral,English,Short Form Of Kimberly Or Kimball,#Surname
Kimama,kimama,Female,Native American - Shoshone,Butterfly,
Kimamana,kimamana,Female,Native American - Dakota,Butterfly,#Nature
Kimani,kimani,Neutral,African - Kukiyu of Kenya,Sailor|Adventurer,#Sports
Kimaya,kimaya,Female,Indian,Divine,
Kimba,kimba,Female,Aboriginal,Brush Fire,#Fire
Kimball,kimball,Neutral,English,Royal Bold,
Kimbella,kimbella,Female,American,Unknown,#Virtue
Kimber,kimber,Neutral,American,Short Form Of Kimberley,#Brand
Kimberlina,kimberlina,Female,American,From The Meadow Of The Royal Fortress,
Kimberly,kimberly,Neutral,English,From The Meadow Of The Royal Fortress,#Surname
Kimbra,kimbra,Female,English,From The Meadow Of The Royal Fortress,
Kimbraley,kimbraley,Female,American,From The Meadow Of The Royal Fortress,
